,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.5228750109672546,big_grid_model_27,100,"[4, 4]",cv_ed,disk,1,1,True,32,256,512,True
1,validation,0.5160999894142151,big_grid_model_27,100,"[4, 4]",cv_ed,disk,1,1,True,32,256,512,True
2,test,0.5139999985694885,big_grid_model_27,100,"[4, 4]",cv_ed,disk,1,1,True,32,256,512,True
