,loss,accuracy,val_loss,val_accuracy,model,epoch,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,epochs,batch_size,augmentation
0,7.948132038116455,0.1054999977350235,2.308178424835205,0.11050000041723251,big_grid_model_8,1,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
1,2.283080577850342,0.13120000064373016,2.248572826385498,0.15440000593662262,big_grid_model_8,2,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
2,2.2304577827453613,0.16304999589920044,2.1898210048675537,0.17919999361038208,big_grid_model_8,3,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
3,2.187917470932007,0.1839749962091446,2.201655387878418,0.17810000479221344,big_grid_model_8,4,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
4,2.1627376079559326,0.1945749968290329,2.174142360687256,0.18930000066757202,big_grid_model_8,5,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
5,2.142770767211914,0.20235000550746918,2.1596338748931885,0.18870000541210175,big_grid_model_8,6,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
6,2.1370863914489746,0.2089499980211258,2.188859462738037,0.19120000302791595,big_grid_model_8,7,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
7,2.113832712173462,0.22322499752044678,2.1341657638549805,0.2061000019311905,big_grid_model_8,8,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
8,2.0952398777008057,0.22990000247955322,2.136000871658325,0.2184000015258789,big_grid_model_8,9,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
9,2.0750980377197266,0.2441750019788742,2.0769689083099365,0.23690000176429749,big_grid_model_8,10,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
10,2.0606496334075928,0.24667499959468842,2.116990327835083,0.23170000314712524,big_grid_model_8,11,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
11,2.0427355766296387,0.25554999709129333,2.108308792114258,0.23389999568462372,big_grid_model_8,12,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
12,2.035062313079834,0.25665000081062317,2.0676863193511963,0.2500999867916107,big_grid_model_8,13,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
13,2.0261635780334473,0.26225000619888306,2.038149118423462,0.2615000009536743,big_grid_model_8,14,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
14,2.0039100646972656,0.2703250050544739,2.018465042114258,0.27379998564720154,big_grid_model_8,15,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
15,1.9907453060150146,0.27607500553131104,2.0052285194396973,0.27480000257492065,big_grid_model_8,16,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
16,1.9889074563980103,0.27572500705718994,2.024385690689087,0.27090001106262207,big_grid_model_8,17,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
17,1.9824129343032837,0.2779749929904938,1.9797587394714355,0.2863999903202057,big_grid_model_8,18,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
18,1.9859976768493652,0.2784000039100647,2.035393476486206,0.2632000148296356,big_grid_model_8,19,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
19,1.9526435136795044,0.2919749915599823,2.07011342048645,0.2590999901294708,big_grid_model_8,20,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
20,1.9643499851226807,0.28894999623298645,2.0207719802856445,0.27140000462532043,big_grid_model_8,21,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
21,1.9537804126739502,0.2919999957084656,1.9758630990982056,0.28459998965263367,big_grid_model_8,22,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
22,1.9384304285049438,0.29852500557899475,2.01524019241333,0.27230000495910645,big_grid_model_8,23,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
23,1.9334222078323364,0.29942500591278076,2.0919301509857178,0.24719999730587006,big_grid_model_8,24,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
24,1.926911473274231,0.3019750118255615,2.015092134475708,0.27619999647140503,big_grid_model_8,25,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
25,1.9197912216186523,0.30684998631477356,1.972456693649292,0.28690001368522644,big_grid_model_8,26,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
26,1.9235121011734009,0.305400013923645,1.971277117729187,0.2994000017642975,big_grid_model_8,27,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
27,1.9108929634094238,0.30889999866485596,1.951149821281433,0.3050000071525574,big_grid_model_8,28,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
28,1.8975111246109009,0.3153750002384186,1.9864548444747925,0.29269999265670776,big_grid_model_8,29,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
29,1.8939166069030762,0.3183499872684479,1.9647939205169678,0.2921999990940094,big_grid_model_8,30,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
30,1.8839800357818604,0.3197999894618988,1.9653818607330322,0.3010999858379364,big_grid_model_8,31,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
31,1.8743841648101807,0.32190001010894775,1.9554343223571777,0.2971000075340271,big_grid_model_8,32,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
32,1.87739098072052,0.3220750093460083,1.946364402770996,0.3057999908924103,big_grid_model_8,33,"[2, 2]",cv_ed,disk,1,1,True,16,128,100,512,True
