,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.4186750054359436,big_grid_model_44,100,"[6, 6]",cv_oc,disk,1,1,True,16,128,512,True
1,validation,0.4174000024795532,big_grid_model_44,100,"[6, 6]",cv_oc,disk,1,1,True,16,128,512,True
2,test,0.4250999987125397,big_grid_model_44,100,"[6, 6]",cv_oc,disk,1,1,True,16,128,512,True
