,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.43575000762939453,big_grid_model_24,100,"[4, 4]",cv_ed,disk,1,1,True,16,128,512,True
1,validation,0.4300999939441681,big_grid_model_24,100,"[4, 4]",cv_ed,disk,1,1,True,16,128,512,True
2,test,0.43309998512268066,big_grid_model_24,100,"[4, 4]",cv_ed,disk,1,1,True,16,128,512,True
