,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.5735250115394592,small_grid_model_3,100,"[0, 0]",,,,,False,32,256,512,True
1,validation,0.5557000041007996,small_grid_model_3,100,"[0, 0]",,,,,False,32,256,512,True
2,test,0.5587000250816345,small_grid_model_3,100,"[0, 0]",,,,,False,32,256,512,True
