,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.548675000667572,small_grid_model_0,100,"[0, 0]",,,,,False,16,128,512,True
1,validation,0.53329998254776,small_grid_model_0,100,"[0, 0]",,,,,False,16,128,512,True
2,test,0.5442000031471252,small_grid_model_0,100,"[0, 0]",,,,,False,16,128,512,True
