,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.6414999961853027,big_grid_model_7,100,"[1, 1]",cv_oc,disk,1,1,True,32,256,512,True
1,validation,0.6248000264167786,big_grid_model_7,100,"[1, 1]",cv_oc,disk,1,1,True,32,256,512,True
2,test,0.6226999759674072,big_grid_model_7,100,"[1, 1]",cv_oc,disk,1,1,True,32,256,512,True
