,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.41567501425743103,big_grid_model_157,100,"[4, 4]",cv_ed,square,1,2,True,16,256,512,True
1,validation,0.41040000319480896,big_grid_model_157,100,"[4, 4]",cv_ed,square,1,2,True,16,256,512,True
2,test,0.4097000062465668,big_grid_model_157,100,"[4, 4]",cv_ed,square,1,2,True,16,256,512,True
