,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.5465250015258789,small_grid_model_0,100,"[0, 0]",,,,,False,16,128,512,True
1,validation,0.5379999876022339,small_grid_model_0,100,"[0, 0]",,,,,False,16,128,512,True
2,test,0.5411999821662903,small_grid_model_0,100,"[0, 0]",,,,,False,16,128,512,True
