,loss,accuracy,val_loss,val_accuracy,model,epoch,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,epochs,batch_size,augmentation
0,2.2063100337982178,0.18140000104904175,2.1345295906066895,0.22280000150203705,big_grid_model_89,1,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
1,2.1078226566314697,0.2264000028371811,2.0391530990600586,0.26750001311302185,big_grid_model_89,2,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
2,2.0626637935638428,0.2503249943256378,2.0001916885375977,0.2851000130176544,big_grid_model_89,3,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
3,2.0310730934143066,0.26649999618530273,2.0152413845062256,0.2815000116825104,big_grid_model_89,4,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
4,1.9952023029327393,0.2844499945640564,1.951117753982544,0.3021000027656555,big_grid_model_89,5,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
5,1.9662959575653076,0.29567500948905945,1.9031444787979126,0.31869998574256897,big_grid_model_89,6,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
6,1.9394886493682861,0.3059749901294708,1.8780597448349,0.3231000006198883,big_grid_model_89,7,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
7,1.9120739698410034,0.3154500126838684,1.8246926069259644,0.35040000081062317,big_grid_model_89,8,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
8,1.8792916536331177,0.3280999958515167,1.8626482486724854,0.3398999869823456,big_grid_model_89,9,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
9,1.84907066822052,0.3411499857902527,1.7789055109024048,0.3747999966144562,big_grid_model_89,10,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
10,1.8285915851593018,0.3494499921798706,1.818946123123169,0.35929998755455017,big_grid_model_89,11,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
11,1.806490421295166,0.35714998841285706,1.78324294090271,0.3700999915599823,big_grid_model_89,12,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
12,1.7872635126113892,0.3591499924659729,1.798513650894165,0.3718000054359436,big_grid_model_89,13,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
13,1.7640882730484009,0.3720000088214874,1.8775800466537476,0.35740000009536743,big_grid_model_89,14,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
14,1.7551299333572388,0.37744998931884766,1.7524847984313965,0.37860000133514404,big_grid_model_89,15,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
15,1.738754153251648,0.3772999942302704,1.7235158681869507,0.39329999685287476,big_grid_model_89,16,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
16,1.7246944904327393,0.3865250051021576,1.6653640270233154,0.4059999883174896,big_grid_model_89,17,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
17,1.7151832580566406,0.3898249864578247,1.6392310857772827,0.4187000095844269,big_grid_model_89,18,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
18,1.699022889137268,0.3938249945640564,1.6698390245437622,0.4097000062465668,big_grid_model_89,19,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
19,1.6853162050247192,0.40047499537467957,1.7120037078857422,0.4034999907016754,big_grid_model_89,20,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
20,1.6744736433029175,0.4055750072002411,1.7002767324447632,0.4050000011920929,big_grid_model_89,21,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
21,1.6680293083190918,0.4051249921321869,1.6963050365447998,0.40709999203681946,big_grid_model_89,22,"[2, 2]",cv_oc,diamond,1,1,True,16,256,100,512,True
