,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.44567498564720154,big_grid_model_64,100,"[2, 2]",cv_ed,diamond,1,1,True,16,128,512,True
1,validation,0.4410000145435333,big_grid_model_64,100,"[2, 2]",cv_ed,diamond,1,1,True,16,128,512,True
2,test,0.44119998812675476,big_grid_model_64,100,"[2, 2]",cv_ed,diamond,1,1,True,16,128,512,True
