,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.48385000228881836,big_grid_model_71,100,"[2, 2]",cv_ed,diamond,1,2,True,32,256,512,True
1,validation,0.47279998660087585,big_grid_model_71,100,"[2, 2]",cv_ed,diamond,1,2,True,32,256,512,True
2,test,0.4729999899864197,big_grid_model_71,100,"[2, 2]",cv_ed,diamond,1,2,True,32,256,512,True
