,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.5659000277519226,small_grid_model_2,100,"[0, 0]",,,,,False,32,128,512,True
1,validation,0.557699978351593,small_grid_model_2,100,"[0, 0]",,,,,False,32,128,512,True
2,test,0.560699999332428,small_grid_model_2,100,"[0, 0]",,,,,False,32,128,512,True
