,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.44942501187324524,big_grid_model_133,100,"[3, 3]",cv_oc,square,1,2,True,16,256,512,True
1,validation,0.44369998574256897,big_grid_model_133,100,"[3, 3]",cv_oc,square,1,2,True,16,256,512,True
2,test,0.4481000006198883,big_grid_model_133,100,"[3, 3]",cv_oc,square,1,2,True,16,256,512,True
