,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.42454999685287476,big_grid_model_130,100,"[3, 3]",cv_oc,square,1,1,True,32,128,512,True
1,validation,0.4189000129699707,big_grid_model_130,100,"[3, 3]",cv_oc,square,1,1,True,32,128,512,True
2,test,0.42590001225471497,big_grid_model_130,100,"[3, 3]",cv_oc,square,1,1,True,32,128,512,True
