,Dataset,Accuracy,Model_Name,epochs,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.6001250147819519,LAB4,100,32,256,512,True
1,validation,0.5781999826431274,LAB4,100,32,256,512,True
2,test,0.5867000222206116,LAB4,100,32,256,512,True
