,Dataset,Accuracy,Model_Name,epochs,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.5738250017166138,RGB2,100,16,512,512,True
1,validation,0.5636000037193298,RGB2,100,16,512,512,True
2,test,0.555899977684021,RGB2,100,16,512,512,True
