,Dataset,Accuracy,Model_Name,epochs,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.5586249828338623,LAB1,100,16,256,512,True
1,validation,0.5447999835014343,LAB1,100,16,256,512,True
2,test,0.5454999804496765,LAB1,100,16,256,512,True
