,Dataset,Accuracy,Model_Name,epochs,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.5664499998092651,LAB2,100,16,512,512,True
1,validation,0.5547999739646912,LAB2,100,16,512,512,True
2,test,0.5532000064849854,LAB2,100,16,512,512,True
