,Dataset,Accuracy,Model_Name,epochs,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.5269500017166138,RGB1,100,16,256,512,True
1,validation,0.5105000138282776,RGB1,100,16,256,512,True
2,test,0.5156000256538391,RGB1,100,16,256,512,True
