,Dataset,Accuracy,Model_Name,epochs,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.529699981212616,LAB0,100,16,128,512,True
1,validation,0.5271999835968018,LAB0,100,16,128,512,True
2,test,0.5253000259399414,LAB0,100,16,128,512,True
