,Dataset,Accuracy,Model_Name,epochs,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.53329998254776,RGB3,100,32,128,512,True
1,validation,0.5242999792098999,RGB3,100,32,128,512,True
2,test,0.5250999927520752,RGB3,100,32,128,512,True
