,loss,accuracy,val_loss,val_accuracy,model,epoch,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,epochs,batch_size,augmentation
0,7.188117027282715,0.12747499346733093,2.2579376697540283,0.15299999713897705,big_grid_model_61,1,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
1,2.212369918823242,0.1741500049829483,2.1824567317962646,0.18719999492168427,big_grid_model_61,2,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
2,2.1480791568756104,0.20454999804496765,2.1309287548065186,0.2084999978542328,big_grid_model_61,3,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
3,2.1116538047790527,0.22452500462532043,2.0903868675231934,0.2321999967098236,big_grid_model_61,4,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
4,2.084418535232544,0.24037499725818634,2.068084478378296,0.2451999932527542,big_grid_model_61,5,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
5,2.059333324432373,0.25049999356269836,2.09468936920166,0.23549999296665192,big_grid_model_61,6,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
6,2.0434956550598145,0.2576499879360199,2.0193443298339844,0.2734000086784363,big_grid_model_61,7,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
7,2.017106294631958,0.26737499237060547,2.019300699234009,0.2727000117301941,big_grid_model_61,8,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
8,2.0083115100860596,0.2698499858379364,2.005345344543457,0.2768000066280365,big_grid_model_61,9,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
9,2.000709056854248,0.2754499912261963,2.0202558040618896,0.2721000015735626,big_grid_model_61,10,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
10,1.9868228435516357,0.2844499945640564,2.0171585083007812,0.2720000147819519,big_grid_model_61,11,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
11,1.9760640859603882,0.2853499948978424,1.9540425539016724,0.298799991607666,big_grid_model_61,12,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
12,1.9711402654647827,0.28702500462532043,1.9507864713668823,0.2994999885559082,big_grid_model_61,13,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
13,1.961037516593933,0.29212498664855957,1.9494848251342773,0.2937999963760376,big_grid_model_61,14,"[2, 2]",cv_ed,square,1,2,True,16,256,100,512,True
