,Dataset,Accuracy,Model_Name,epochs,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,batch_size,augmentation
0,train,0.5662999749183655,small_grid_model_3,100,"[0, 0]",,,,,False,32,256,512,True
1,validation,0.5522000193595886,small_grid_model_3,100,"[0, 0]",,,,,False,32,256,512,True
2,test,0.5525000095367432,small_grid_model_3,100,"[0, 0]",,,,,False,32,256,512,True
