,loss,accuracy,val_loss,val_accuracy,model,epoch,structuring_elements_depth,transormation_type,structuring_elements_type,structuring_elements_initsize,structuring_elements_step,morphological_transformation_mode,start_neurons,dense_neurons,epochs,batch_size,augmentation
0,5.614951133728027,0.1080000028014183,2.3008103370666504,0.10890000313520432,big_grid_model_3,1,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
1,2.2930943965911865,0.1260250061750412,2.2908482551574707,0.12880000472068787,big_grid_model_3,2,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
2,2.2669713497161865,0.14957499504089355,2.255894660949707,0.15530000627040863,big_grid_model_3,3,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
3,2.2208728790283203,0.17425000667572021,2.2062578201293945,0.17249999940395355,big_grid_model_3,4,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
4,2.1541693210601807,0.2066500037908554,2.1311094760894775,0.2151000052690506,big_grid_model_3,5,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
5,2.100594997406006,0.23100000619888306,2.0760111808776855,0.2313999980688095,big_grid_model_3,6,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
6,2.070173978805542,0.24115000665187836,2.063119649887085,0.2371000051498413,big_grid_model_3,7,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
7,2.0429415702819824,0.25235000252723694,2.057532787322998,0.24690000712871552,big_grid_model_3,8,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
8,2.0084309577941895,0.27037501335144043,2.0510404109954834,0.24529999494552612,big_grid_model_3,9,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
9,1.98287034034729,0.27847498655319214,2.0061261653900146,0.2662999927997589,big_grid_model_3,10,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
10,1.9737519025802612,0.28562501072883606,2.0045700073242188,0.2782999873161316,big_grid_model_3,11,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
11,1.9402519464492798,0.2966499924659729,1.9712646007537842,0.2896000146865845,big_grid_model_3,12,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
12,1.926697015762329,0.30262500047683716,1.9183071851730347,0.30329999327659607,big_grid_model_3,13,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
13,1.9167002439498901,0.30594998598098755,1.9094678163528442,0.30399999022483826,big_grid_model_3,14,"[1, 1]",cv_ed,disk,1,1,True,32,256,100,512,True
