,Dataset,Accuracy,Model_Name
0,train,1.0,"opening_closing_256_[2, 2]_cv_oc_square_1"
1,validation,0.7910714149475098,"opening_closing_256_[2, 2]_cv_oc_square_1"
2,test,0.7955357432365417,"opening_closing_256_[2, 2]_cv_oc_square_1"
