,Dataset,Accuracy,Model_Name
0,train,1.0,"dillatation_erosion_256_[2, 2]_cv_ed_square_1"
1,validation,0.8125,"dillatation_erosion_256_[2, 2]_cv_ed_square_1"
2,test,0.8044642806053162,"dillatation_erosion_256_[2, 2]_cv_ed_square_1"
