,Dataset,Accuracy,Model_Name
0,train,1.0,"opening_closing_128_[5, 5]_cv_oc_square_1"
1,validation,0.831250011920929,"opening_closing_128_[5, 5]_cv_oc_square_1"
2,test,0.8258928656578064,"opening_closing_128_[5, 5]_cv_oc_square_1"
