,Dataset,Accuracy,Model_Name
0,train,1.0,"opening_closing_128_[5, 5]_cv_oc_square_2"
1,validation,0.8366071581840515,"opening_closing_128_[5, 5]_cv_oc_square_2"
2,test,0.8125,"opening_closing_128_[5, 5]_cv_oc_square_2"
