,Dataset,Accuracy,Model_Name
0,train,1.0,"opening_closing_64_[2, 2]_cv_oc_square_2"
1,validation,0.8294642567634583,"opening_closing_64_[2, 2]_cv_oc_square_2"
2,test,0.8348214030265808,"opening_closing_64_[2, 2]_cv_oc_square_2"
