,Dataset,Accuracy,Model_Name
0,train,1.0,"dillatation_erosion_128_[2, 2]_cv_ed_disk_1"
1,validation,0.8276785612106323,"dillatation_erosion_128_[2, 2]_cv_ed_disk_1"
2,test,0.8285714387893677,"dillatation_erosion_128_[2, 2]_cv_ed_disk_1"
