,Dataset,Accuracy,Model_Name
0,train,1.0,"dillatation_erosion_64_[2, 2]_cv_ed_diamond_2"
1,validation,0.8374999761581421,"dillatation_erosion_64_[2, 2]_cv_ed_diamond_2"
2,test,0.8419643044471741,"dillatation_erosion_64_[2, 2]_cv_ed_diamond_2"
