,loss,accuracy,val_loss,val_accuracy,model,epoch
0,2.5140859365463255,0.4910714328289032,1.0710669381277902,0.7473214268684387,"opening_closing_256_[2, 2]_cv_oc_square_1",1
1,0.0941015799308107,0.9770833253860474,1.2159009116036552,0.7562500238418579,"opening_closing_256_[2, 2]_cv_oc_square_1",2
2,0.0037690686441714033,0.999404788017273,1.254170663016183,0.7776785492897034,"opening_closing_256_[2, 2]_cv_oc_square_1",3
3,0.0017773163524301102,0.9997023940086365,1.2160817316600254,0.7875000238418579,"opening_closing_256_[2, 2]_cv_oc_square_1",4
4,0.0007461496750779805,0.9997023940086365,1.2470957313265119,0.7883928418159485,"opening_closing_256_[2, 2]_cv_oc_square_1",5
5,0.0001266035983419334,1.0,1.2941683156149728,0.7892857193946838,"opening_closing_256_[2, 2]_cv_oc_square_1",6
6,6.120223572777052e-05,1.0,1.3539327962057932,0.7901785969734192,"opening_closing_256_[2, 2]_cv_oc_square_1",7
7,4.000740196456068e-05,1.0,1.3849073682512556,0.7892857193946838,"opening_closing_256_[2, 2]_cv_oc_square_1",8
8,3.141655411343977e-05,1.0,1.3913539954594203,0.7892857193946838,"opening_closing_256_[2, 2]_cv_oc_square_1",9
9,2.5583800223622736e-05,1.0,1.4090570279530117,0.7892857193946838,"opening_closing_256_[2, 2]_cv_oc_square_1",10
10,2.1344259567697354e-05,1.0,1.416837215423584,0.7910714149475098,"opening_closing_256_[2, 2]_cv_oc_square_1",11
