,Dataset,Accuracy,Model_Name
0,train,1.0,"opening_closing_64_[5, 5]_cv_oc_disk_2"
1,validation,0.8401785492897034,"opening_closing_64_[5, 5]_cv_oc_disk_2"
2,test,0.8276785612106323,"opening_closing_64_[5, 5]_cv_oc_disk_2"
