,Dataset,Accuracy,Model_Name
0,train,1.0,"dillatation_erosion_256_[5, 5]_cv_ed_disk_2"
1,validation,0.8517857193946838,"dillatation_erosion_256_[5, 5]_cv_ed_disk_2"
2,test,0.831250011920929,"dillatation_erosion_256_[5, 5]_cv_ed_disk_2"
