,Dataset,Accuracy,Model_Name
0,train,1.0,"opening_closing_256_[5, 5]_cv_oc_diamond_1"
1,validation,0.7946428656578064,"opening_closing_256_[5, 5]_cv_oc_diamond_1"
2,test,0.793749988079071,"opening_closing_256_[5, 5]_cv_oc_diamond_1"
