,loss,accuracy,val_loss,val_accuracy,model,epoch
0,2.53774786619913,0.4705357253551483,1.09560592515128,0.7464285492897034,"opening_closing_256_[5, 5]_cv_oc_disk_1",1
1,0.11741726128827958,0.9696428775787354,1.5089924812316895,0.7535714507102966,"opening_closing_256_[5, 5]_cv_oc_disk_1",2
2,0.00667100700541466,0.9985119104385376,1.3646231600216456,0.7857142686843872,"opening_closing_256_[5, 5]_cv_oc_disk_1",3
3,0.0010460411684194003,0.9997023940086365,1.4496395996638707,0.793749988079071,"opening_closing_256_[5, 5]_cv_oc_disk_1",4
4,0.001957310397258317,0.9997023940086365,1.3964343207223076,0.7901785969734192,"opening_closing_256_[5, 5]_cv_oc_disk_1",5
5,0.0001192207137743632,1.0,1.4195879186902727,0.7919642925262451,"opening_closing_256_[5, 5]_cv_oc_disk_1",6
6,6.841010766774637e-05,1.0,1.443374388558524,0.7928571701049805,"opening_closing_256_[5, 5]_cv_oc_disk_1",7
7,4.7153990627044724e-05,1.0,1.463037896156311,0.7955357432365417,"opening_closing_256_[5, 5]_cv_oc_disk_1",8
8,3.518295731434288e-05,1.0,1.4820586919784546,0.7973214387893677,"opening_closing_256_[5, 5]_cv_oc_disk_1",9
9,2.752129836326709e-05,1.0,1.4979015622820173,0.7964285612106323,"opening_closing_256_[5, 5]_cv_oc_disk_1",10
10,2.226571448859648e-05,1.0,1.5128979478563582,0.7973214387893677,"opening_closing_256_[5, 5]_cv_oc_disk_1",11
