,Dataset,Accuracy,Model_Name
0,train,1.0,"dillatation_erosion_128_[2, 2]_cv_ed_disk_2"
1,validation,0.8339285850524902,"dillatation_erosion_128_[2, 2]_cv_ed_disk_2"
2,test,0.8267857432365417,"dillatation_erosion_128_[2, 2]_cv_ed_disk_2"
