,Dataset,Accuracy,Model_Name
0,train,1.0,"dillatation_erosion_128_[5, 5]_cv_ed_diamond_1"
1,validation,0.8392857313156128,"dillatation_erosion_128_[5, 5]_cv_ed_diamond_1"
2,test,0.8383928537368774,"dillatation_erosion_128_[5, 5]_cv_ed_diamond_1"
