,loss,accuracy,val_loss,val_accuracy,model,epoch
0,2.7915498852729796,0.43065476417541504,1.1407246623720442,0.7321428656578064,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",1
1,0.25999635188352493,0.9330357313156128,1.123241104398455,0.8026785850524902,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",2
2,0.019196793738575208,0.9967262148857117,1.09172283240727,0.8062499761581421,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",3
3,0.004318635929320451,0.9988095164299011,1.220046319280352,0.8035714030265808,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",4
4,0.000820651823250089,0.9997023940086365,1.2080055083547319,0.8089285492897034,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",5
5,0.00018421708775262925,1.0,1.236389766420637,0.8151785731315613,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",6
6,0.0001129499737760939,1.0,1.265181074823652,0.8151785731315613,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",7
7,7.899028046051084e-05,1.0,1.2858584199632916,0.8205357193946838,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",8
8,6.069391470408023e-05,1.0,1.303140354156494,0.8223214149475098,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",9
9,4.9038877928285815e-05,1.0,1.3173460824148995,0.8223214149475098,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",10
10,4.05839448614556e-05,1.0,1.3304933054106576,0.8205357193946838,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",11
11,3.419295984106914e-05,1.0,1.341260984965733,0.8205357193946838,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",12
12,2.897238494673123e-05,1.0,1.3536077056612288,0.8223214149475098,"dillatation_erosion_256_[2, 2]_cv_ed_square_2",13
