,Dataset,Accuracy,Model_Name
0,train,1.0,"dillatation_erosion_256_[5, 5]_cv_ed_diamond_1"
1,validation,0.8321428298950195,"dillatation_erosion_256_[5, 5]_cv_ed_diamond_1"
2,test,0.8285714387893677,"dillatation_erosion_256_[5, 5]_cv_ed_diamond_1"
