,loss,accuracy,val_loss,val_accuracy,model,epoch
0,2.0132103681564333,0.5470238327980042,0.9620245099067688,0.7991071343421936,"opening_closing_128_[2, 2]_cv_oc_diamond_2",1
1,0.12704399907518002,0.9660714268684387,1.2232600620814733,0.7946428656578064,"opening_closing_128_[2, 2]_cv_oc_diamond_2",2
2,0.012942016563777413,0.9979166388511658,1.1728899342673165,0.8187500238418579,"opening_closing_128_[2, 2]_cv_oc_diamond_2",3
3,0.0024212395594943137,0.9991071224212646,1.1917946917670115,0.8205357193946838,"opening_closing_128_[2, 2]_cv_oc_diamond_2",4
4,0.0013777352771111985,0.9997023940086365,1.2173354659761702,0.8267857432365417,"opening_closing_128_[2, 2]_cv_oc_diamond_2",5
5,0.000741435545759963,0.9997023940086365,1.2623485497065954,0.8205357193946838,"opening_closing_128_[2, 2]_cv_oc_diamond_2",6
6,0.00031156119720045743,1.0,1.2717186825616018,0.8276785612106323,"opening_closing_128_[2, 2]_cv_oc_diamond_2",7
7,6.604198280824459e-05,1.0,1.2885420969554355,0.8276785612106323,"opening_closing_128_[2, 2]_cv_oc_diamond_2",8
8,4.8901010380913724e-05,1.0,1.3024085930415563,0.8285714387893677,"opening_closing_128_[2, 2]_cv_oc_diamond_2",9
9,3.8492115813174416e-05,1.0,1.316397534097944,0.8267857432365417,"opening_closing_128_[2, 2]_cv_oc_diamond_2",10
10,3.134416290863772e-05,1.0,1.3289281300136022,0.8276785612106323,"opening_closing_128_[2, 2]_cv_oc_diamond_2",11
