,Dataset,Accuracy,Model_Name
0,train,1.0,"dillatation_erosion_64_[5, 5]_cv_ed_disk_1"
1,validation,0.8482142686843872,"dillatation_erosion_64_[5, 5]_cv_ed_disk_1"
2,test,0.8401785492897034,"dillatation_erosion_64_[5, 5]_cv_ed_disk_1"
