,Dataset,Accuracy,Model_Name
0,train,1.0,"opening_closing_128_[5, 5]_cv_oc_disk_1"
1,validation,0.8151785731315613,"opening_closing_128_[5, 5]_cv_oc_disk_1"
2,test,0.8071428537368774,"opening_closing_128_[5, 5]_cv_oc_disk_1"
